node_id = 0, FirstLinkFrom = 1, LastLinkFrom = 0 
node_id = 68, FirstLinkFrom = 83, LastLinkFrom = 83 
node_id = 70, FirstLinkFrom = 84, LastLinkFrom = 84 
node_id = 71, FirstLinkFrom = 85, LastLinkFrom = 86 
node_id = 72, FirstLinkFrom = 87, LastLinkFrom = 87 
node_id = 73, FirstLinkFrom = 88, LastLinkFrom = 88 
node_id = 75, FirstLinkFrom = 89, LastLinkFrom = 90 
node_id = 76, FirstLinkFrom = 91, LastLinkFrom = 91 
node_id = 77, FirstLinkFrom = 92, LastLinkFrom = 92 
node_id = 78, FirstLinkFrom = 93, LastLinkFrom = 94 
node_id = 79, FirstLinkFrom = 95, LastLinkFrom = 96 
node_id = 80, FirstLinkFrom = 97, LastLinkFrom = 98 
node_id = 81, FirstLinkFrom = 99, LastLinkFrom = 100 
node_id = 82, FirstLinkFrom = 101, LastLinkFrom = 102 
node_id = 83, FirstLinkFrom = 103, LastLinkFrom = 104 
node_id = 84, FirstLinkFrom = 105, LastLinkFrom = 106 
node_id = 85, FirstLinkFrom = 107, LastLinkFrom = 107 
node_id = 86, FirstLinkFrom = 108, LastLinkFrom = 108 
node_id = 87, FirstLinkFrom = 109, LastLinkFrom = 109 
node_id = 88, FirstLinkFrom = 110, LastLinkFrom = 110 
node_id = 89, FirstLinkFrom = 111, LastLinkFrom = 111 
node_id = 90, FirstLinkFrom = 112, LastLinkFrom = 112 
node_id = 91, FirstLinkFrom = 113, LastLinkFrom = 113 
node_id = 92, FirstLinkFrom = 114, LastLinkFrom = 114 
node_id = 93, FirstLinkFrom = 0, LastLinkFrom = -1 
node_id = 94, FirstLinkFrom = 115, LastLinkFrom = 116 
node_id = 95, FirstLinkFrom = 117, LastLinkFrom = 117 
node_id = 96, FirstLinkFrom = 118, LastLinkFrom = 118 
node_id = 97, FirstLinkFrom = 119, LastLinkFrom = 120 
node_id = 98, FirstLinkFrom = 121, LastLinkFrom = 121 
node_id = 99, FirstLinkFrom = 122, LastLinkFrom = 122 
